cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3525854;Jumirim;Interior;Abril;0;3306;469;0;5669
3525904;Jundiaí;Interior;Abril;149;407016;69839;15;43121
3526001;Junqueirópolis;Interior;Abril;2;20065;3714;0;58257
3526100;Juquiá;Interior;Abril;1;18828;3131;0;8128
3526209;Juquitiba;RMSP (exceto capital);Abril;4;30401;4132;1;52217
3526308;Lagoinha;Interior;Abril;0;4819;984;0;25547
3526407;Laranjal Paulista;Interior;Abril;5;27834;4800;2;38427
3526506;Lavínia;Interior;Abril;0;8500;1038;0;53768
3526605;Lavrinhas;Interior;Abril;2;7167;903;1;16707
3526704;Leme;Interior;Abril;6;100975;14281;3;40287
3526803;Lençóis Paulista;Interior;Abril;4;66343;9847;1;80954
3526902;Limeira;Interior;Abril;35;296300;48554;1;58071
3527009;Lindóia;Interior;Abril;3;7722;1281;0;4876
3527108;Lins;Interior;Abril;16;75087;13497;3;57006
3527207;Lorena;Interior;Abril;6;86639;14379;0;41416
3527256;Lourdes;Interior;Abril;0;2182;445;0;11394
3527306;Louveira;Interior;Abril;9;48268;4812;0;5513
3527405;Lucélia;Interior;Abril;4;21019;3778;2;31481
3527504;Lucianópolis;Interior;Abril;0;2261;456;0;18954
3527603;Luís Antônio;Interior;Abril;0;14166;1535;0;59826
3527702;Luiziânia;Interior;Abril;0;5754;856;0;16658
3527801;Lupércio;Interior;Abril;0;4421;746;0;15517
3527900;Lutécia;Interior;Abril;0;2621;495;0;47523
3528007;Macatuba;Interior;Abril;1;16932;2571;0;22451
3528106;Macaubal;Interior;Abril;0;7749;1733;0;24809
3528205;Macedônia;Interior;Abril;0;3574;840;0;32757
3528304;Magda;Interior;Abril;0;3088;719;0;31228
3528403;Mairinque;Interior;Abril;7;46323;6632;0;21015
3528502;Mairiporã;RMSP (exceto capital);Abril;30;98622;13203;4;3207
3528601;Manduri;Interior;Abril;0;9525;1647;0;22905
3528700;Marabá Paulista;Interior;Abril;0;4931;697;0;91952
3528809;Maracaí;Interior;Abril;0;13521;2350;0;5335
3528858;Marapoama;Interior;Abril;0;2906;557;0;11127
3528908;Mariápolis;Interior;Abril;0;3975;735;0;18654
3529005;Marília;Interior;Abril;12;231554;40831;1;117052
3529104;Marinópolis;Interior;Abril;0;2097;406;0;7783
3529203;Martinópolis;Interior;Abril;2;25668;4344;0;125356
3529302;Matão;Interior;Abril;4;80020;13454;0;5249
3529401;Mauá;RMSP (exceto capital);Abril;220;460132;57797;20;6191
3529500;Mendonça;Interior;Abril;0;5043;928;0;19515
3529609;Meridiano;Interior;Abril;0;3739;781;0;2282
3529658;Mesópolis;Interior;Abril;0;1893;368;0;14864
3529708;Miguelópolis;Interior;Abril;1;21424;3247;0;82085
